"outcome_id","employee_id","post_performance","billable_hours_change","absenteeism_days","turnover_intent","ai_tool_adoption_score","months_since_training"
"OUT001","EMP001",4.15,14.9,3,"High",3.8,5
"OUT002","EMP002",3.14,2.8,8,"High",5.3,6
"OUT003","EMP003",3.79,-5.3,5,"High",2.7,14
"OUT004","EMP004",4.5,9.8,4,"Low",4.4,12
"OUT005","EMP005",3.43,10,3,"Low",2.4,12
"OUT006","EMP006",4.14,-3.1,4,"High",5.1,14
"OUT007","EMP007",4.81,-16.8,5,"High",5.5,7
"OUT008","EMP008",3.52,14.5,1,"Medium",4.9,8
"OUT009","EMP009",4.09,0.5,8,"Low",2.9,7
"OUT010","EMP010",3.95,12,2,"High",5.5,9
"OUT011","EMP011",3.99,0.1,6,"Low",1,9
"OUT012","EMP012",3.96,18.7,1,"High",5.3,5
"OUT013","EMP013",4.28,12.6,3,"Medium",5.3,15
"OUT014","EMP014",3.95,3.7,3,"High",3.3,13
"OUT015","EMP015",3.83,5.8,4,"Low",4.3,9
"OUT016","EMP016",3.67,12.5,1,"Low",4.9,14
"OUT017","EMP017",3.24,2.6,7,"Medium",1.5,10
"OUT018","EMP018",4.22,10,12,"High",4.5,16
"OUT019","EMP019",3.39,12.6,0,"Medium",4.2,9
"OUT020","EMP020",3.39,2.5,4,"Low",4.9,9
"OUT021","EMP021",3.33,9.1,9,"Low",5.6,7
"OUT022","EMP022",2.93,13.5,3,"Medium",2.5,3
"OUT023","EMP023",3.92,-5.3,4,"Low",4.1,6
"OUT024","EMP024",4.01,8.3,7,"Low",3.6,6
"OUT025","EMP025",3.58,3.4,4,"Low",1.6,14
"OUT026","EMP026",4.2,6,7,"Medium",2.9,12
"OUT027","EMP027",5,13.4,5,"Low",3.6,13
"OUT028","EMP028",3.21,5.3,4,"Medium",4.4,8
"OUT029","EMP029",NA,15.6,2,"Low",4.1,12
"OUT030","EMP030",3.66,12.9,0,"Medium",5.2,14
"OUT031","EMP031",4.3,-6.3,2,"Medium",5.2,7
"OUT032","EMP032",4.32,5.8,2,"Medium",4.6,7
"OUT033","EMP033",3.55,7,19,"High",2.3,14
"OUT034","EMP034",3.59,6.4,10,"High",3.6,11
"OUT035","EMP035",4.09,13.1,4,"Medium",7.3,4
"OUT036","EMP036",4.31,16.9,6,"Low",3,14
"OUT037","EMP037",3.82,8.1,2,"Low",5.3,6
"OUT038","EMP038",4.08,14.2,4,"Medium",5.1,15
"OUT039","EMP039",4.42,-6.4,3,"Low",6.9,6
"OUT040","EMP040",3.43,8.2,3,"Medium",5.2,9
"OUT041","EMP041",3.22,15.4,9,"Medium",5.9,12
"OUT042","EMP042",3.7,6.2,9,"Medium",7.5,3
"OUT043","EMP043",4.64,-9.8,3,"Low",4.2,3
"OUT044","EMP044",4.26,5.5,4,"Medium",4.6,11
"OUT045","EMP045",2.96,24.5,224,"Medium",4.4,13
"OUT046","EMP046",NA,15.6,6,"Medium",3,12
"OUT047","EMP047",3.24,19.4,4,"Low",4,3
"OUT048","EMP048",3.64,6.5,1,"Low",4.3,8
"OUT049","EMP049",3.89,4.7,5,"High",5.7,10
"OUT050","EMP050",3.32,5.1,1,"Low",3.8,8
"OUT051","EMP051",NA,8.7,5,"Medium",6.4,14
"OUT052","EMP052",4.12,9.7,6,"High",2.7,9
"OUT053","EMP053",4.04,0.3,8,"High",2.2,11
"OUT054","EMP054",3.18,7.2,13,"Low",5.1,8
"OUT055","EMP055",3.99,-4.1,11,"Low",5.4,13
"OUT056","EMP056",3.76,1.5,6,"Low",6.9,11
"OUT057","EMP057",3,17.9,0,"Low",5.6,8
"OUT058","EMP058",5,6.6,6,"High",7.9,9
"OUT059","EMP059",2.99,2.5,5,"Low",4.6,6
"OUT060","EMP060",3.61,7.4,5,"Medium",3.2,7
"OUT061","EMP061",4.25,-3,4,"Medium",4.9,12
"OUT062","EMP062",4.58,16.3,4,"Medium",5.2,7
"OUT063","EMP063",3.87,-0.9,6,"High",5.4,12
"OUT064","EMP064",NA,6.7,4,"Medium",4.4,6
"OUT065","EMP065",4.96,15.4,1,"Low",4.2,9
"OUT066","EMP066",4.08,8.1,3,"Low",3.2,9
"OUT067","EMP067",3.68,1.9,0,"Low",2.9,6
"OUT068","EMP068",3.99,14.3,4,"Low",6.8,7
"OUT069","EMP069",4.99,11.9,1,"Low",3.7,9
"OUT070","EMP070",2.76,-11.1,2,"Medium",5.1,9
"OUT071","EMP071",3.71,2.3,1,"Low",2.1,12
"OUT072","EMP072",3.55,5.8,2,"Low",2.5,9
"OUT073","EMP073",3.29,6.1,2,"Low",5.1,15
"OUT074","EMP074",3.45,26.3,4,"Low",3.2,13
"OUT075","EMP075",4.31,6.9,5,"High",7.2,18
"OUT076","EMP076",4.24,10.7,4,"Low",5.2,18
"OUT077","EMP077",4.4,8.2,3,"Low",4.1,12
"OUT078","EMP078",4.75,16.4,5,"Medium",7.2,11
"OUT079","EMP079",4.65,10.6,6,"High",5.4,13
"OUT080","EMP080",3.11,15.7,5,"High",2,8
"OUT081","EMP081",2.79,5,7,"Low",5.3,11
"OUT082","EMP082",4.5,-0.2,4,"Medium",3.8,11
"OUT083","EMP083",4.64,3.2,0,"Medium",4.1,15
"OUT084","EMP084",3.97,10.5,1,"Medium",5.1,13
"OUT085","EMP085",4.91,6.4,2,"Low",4.5,14
"OUT086","EMP086",3.39,10.4,6,"Medium",5.9,18
"OUT087","EMP087",3.75,16.8,1,"Low",4,9
"OUT088","EMP088",3.57,6.3,6,"Low",5.3,14
"OUT089","EMP089",3.42,2.7,13,"High",3.8,9
"OUT090","EMP090",4.56,15.7,1,"Low",4.3,10
"OUT091","EMP091",4.72,-11.7,3,"Low",3.6,16
"OUT092","EMP092",3.78,3.7,10,"High",5.5,10
"OUT093","EMP093",NA,-7.6,6,"High",5.7,18
"OUT094","EMP094",3.61,13.6,2,"Low",4.2,11
"OUT095","EMP095",NA,10.1,4,"Low",10,12
"OUT096","EMP096",3.83,3,5,"High",4.6,3
"OUT097","EMP097",3.33,4.9,3,"High",6.1,8
"OUT098","EMP098",3.99,13.1,3,"Medium",8.1,10
"OUT099","EMP099",3.82,-1.3,13,"High",5.7,6
"OUT100","EMP100",3.63,5.7,5,"Low",2.7,7
"OUT101","EMP101",3.27,8.5,4,"Medium",3.4,4
"OUT102","EMP102",4.48,7.8,12,"High",5.2,10
"OUT103","EMP103",3.84,15.4,7,"High",6,15
"OUT104","EMP104",3.81,10.2,1,"High",3.3,8
"OUT105","EMP105",3.25,11.5,9,"Low",5.2,11
"OUT106","EMP106",3.8,8.9,3,"Medium",4.1,4
"OUT107","EMP107",3.77,-1.6,1,"Low",5.5,17
"OUT108","EMP108",4.03,9.5,4,"Medium",5.7,15
"OUT109","EMP109",3.06,12.3,3,"Low",4.3,15
"OUT110","EMP110",4.19,12.7,3,"Medium",4.7,12
"OUT111","EMP111",3.61,21.1,16,"Low",5.8,10
"OUT112","EMP112",3.43,7.8,2,"High",2,9
"OUT113","EMP113",3.85,4,7,"Low",3.8,14
"OUT114","EMP114",4.38,9.5,5,"High",7.9,13
"OUT115","EMP115",4.19,11.3,0,"High",3,8
"OUT116","EMP116",4.29,7.2,2,"Low",3.5,14
"OUT117","EMP117",4.76,11.7,3,"Low",5.2,7
"OUT118","EMP118",4.04,4.6,2,"High",5,8
"OUT119","EMP119",3.49,17.8,0,"High",5.5,9
"OUT120","EMP120",3.77,-3.4,10,"Low",5.2,13
"OUT121","EMP121",2.84,3.5,5,"Low",4.2,13
"OUT122","EMP122",3.61,7.6,1,"Low",3.6,14
"OUT123","EMP123",5,12.4,7,"Medium",7.3,15
"OUT124","EMP124",2.99,2.7,12,"Low",3,14
"OUT125","EMP125",3.31,11.8,2,"Low",4.8,11
"OUT126","EMP126",4.47,26.8,5,"Medium",3.1,13
"OUT127","EMP127",3.55,9.3,6,"Medium",3.1,5
"OUT128","EMP128",NA,5.4,4,"Medium",1.2,15
"OUT129","EMP129",4.47,19.3,2,"Medium",2.4,7
"OUT130","EMP130",3.67,4.8,7,"Low",7.1,8
"OUT131","EMP131",3.95,21.6,0,"Medium",9.1,3
"OUT132","EMP132",4.75,14.7,1,"Low",3.5,14
"OUT133","EMP133",3.95,5.7,4,"High",4.2,7
"OUT134","EMP134",4.33,3.3,3,"Low",6.4,13
"OUT135","EMP135",4.11,19,9,"High",5.8,3
"OUT136","EMP136",3.44,16.5,3,"High",5.1,5
"OUT137","EMP137",4.52,18.4,6,"Low",3.7,9
"OUT138","EMP138",4.06,15.4,14,"Medium",3.9,9
"OUT139","EMP139",4.31,4.2,2,"Low",2,12
"OUT140","EMP140",3.14,8.9,2,"High",4.6,9
"OUT141","EMP141",3.57,7.7,5,"Medium",6.8,9
"OUT142","EMP142",4.63,1.2,3,"Low",5.3,15
"OUT143","EMP143",3.22,17.7,3,"High",3.8,14
"OUT144","EMP144",4.13,23.2,13,"Low",7.5,9
"OUT145","EMP145",4.4,10.9,1,"Medium",3.5,14
"OUT146","EMP146",4.81,-5.6,3,"Medium",5.1,18
"OUT147","EMP147",4.48,8.6,10,"Low",6.7,13
"OUT148","EMP148",4.37,9.5,10,"High",3.7,12
"OUT149","EMP149",3.92,10.4,210,"Medium",2.7,14
"OUT150","EMP150",NA,-5.9,2,"Low",7.1,11
"OUT151","EMP151",5,21.2,0,"Medium",6.8,10
"OUT152","EMP152",4.47,7.3,3,"Medium",2.7,8
"OUT153","EMP153",4.44,2.9,11,"Medium",4.6,4
"OUT154","EMP154",3.72,11.5,2,"Low",3.4,9
"OUT155","EMP155",3.91,3.6,7,"Low",3.4,13
"OUT156","EMP156",3.65,6.6,3,"Medium",5.8,10
"OUT157","EMP157",NA,20.1,12,"Medium",3.7,5
"OUT158","EMP158",3.93,10.9,7,"High",6,14
"OUT159","EMP159",4.74,5,6,"Low",6.1,5
"OUT160","EMP160",4.33,9.3,9,"Low",4.6,3
"OUT161","EMP161",2.72,14.5,3,"High",4.2,17
"OUT162","EMP162",3.07,5.3,1,"Low",1.8,4
"OUT163","EMP163",3.59,-1.4,6,"High",4.3,10
"OUT164","EMP164",4.4,7.7,4,"Low",3.4,8
"OUT165","EMP165",5,1.6,6,"Medium",1.5,7
"OUT166","EMP166",NA,10.7,8,"Medium",3.4,9
"OUT167","EMP167",4.22,7.1,4,"High",2.6,13
"OUT168","EMP168",5,18.8,4,"Medium",6.2,12
"OUT169","EMP169",4.52,2.7,3,"Low",1,3
"OUT170","EMP170",3.96,-6.4,4,"Low",1,4
"OUT171","EMP171",3.99,7.8,2,"High",4.6,16
"OUT172","EMP172",4.95,13.2,5,"Low",9.8,9
"OUT173","EMP173",3.43,9,5,"High",7.2,8
"OUT174","EMP174",4.15,-7.5,8,"High",5.4,14
"OUT175","EMP175",NA,-2.5,4,"High",4.1,13
"OUT176","EMP176",4.57,15.1,1,"Low",4.4,14
"OUT177","EMP177",3.84,-2,3,"High",4.7,13
"OUT178","EMP178",3.82,17,7,"Low",3.7,12
"OUT179","EMP179",4.22,-1.4,7,"High",7.7,11
"OUT180","EMP180",3.3,10.8,0,"Medium",3.4,11
"OUT181","EMP181",3.51,14.9,6,"High",3.1,6
"OUT182","EMP182",3.73,-0.3,6,"Low",3.2,10
"OUT183","EMP183",3.04,15.7,5,"High",4.3,10
"OUT184","EMP184",4.06,3.3,7,"Low",4.3,6
"OUT185","EMP185",4.52,2.3,9,"High",5.9,7
"OUT186","EMP186",4.44,8.7,4,"Medium",5.8,13
"OUT187","EMP187",3.52,-5.9,6,"Medium",3.6,11
"OUT188","EMP188",4.02,8.2,0,"Medium",3.7,11
"OUT189","EMP189",4.56,18.1,2,"Medium",7.6,16
"OUT190","EMP190",3.42,10.1,3,"High",7.3,11
"OUT191","EMP191",3.58,4.5,5,"High",3.5,7
"OUT192","EMP192",4.09,11.4,7,"Low",4.8,12
"OUT193","EMP193",4.22,10.4,3,"Low",2.7,6
"OUT194","EMP194",4.36,-7.4,0,"Medium",7.1,13
"OUT195","EMP195",2.9,-3.3,2,"Medium",3.2,9
"OUT196","EMP196",3.32,2,185,"Low",6.4,7
"OUT197","EMP197",4.1,13.1,2,"Medium",5.5,6
"OUT198","EMP198",3.51,21.7,3,"Low",4.2,11
"OUT199","EMP199",NA,7.1,4,"Low",5.3,4
"OUT200","EMP200",4.69,14.4,1,"Low",4.9,11
"OUT201","EMP201",NA,1.4,5,"Low",3.8,5
"OUT202","EMP202",3.19,0.7,2,"High",1.3,3
"OUT203","EMP203",3.55,12,3,"Low",5.8,13
"OUT204","EMP204",4.44,10.9,3,"High",2.4,11
"OUT205","EMP205",4.26,8.7,4,"Low",4.5,16
"OUT206","EMP206",3.97,-14.7,3,"High",7.6,11
"OUT207","EMP207",3.67,-11.4,4,"Medium",4.7,13
"OUT208","EMP208",4.09,1,1,"Medium",4.7,15
"OUT209","EMP209",4.34,11.8,4,"Low",3,12
"OUT210","EMP210",4.11,12.9,11,"Medium",4.4,14
"OUT211","EMP211",4.51,8.9,13,"High",3,11
"OUT212","EMP212",4.58,10.5,1,"Medium",6.2,14
"OUT213","EMP213",3.7,0.7,4,"Low",6.8,12
"OUT214","EMP214",2.88,-5.8,7,"High",4.7,10
"OUT215","EMP215",3.88,-1.8,7,"Low",3.2,14
"OUT216","EMP216",2.79,0,7,"Medium",4.1,6
"OUT217","EMP217",3.89,-2,1,"Low",4.2,10
"OUT218","EMP218",4.42,-0.3,4,"Low",4.2,14
"OUT219","EMP219",3.33,7.8,9,"High",3.3,9
"OUT220","EMP220",3.05,8.2,6,"High",1.6,16
"OUT221","EMP221",3.77,-2.6,4,"Low",4.1,12
"OUT222","EMP222",3.57,12.6,5,"Medium",7,14
"OUT223","EMP223",3.31,2.1,8,"High",3.4,4
"OUT224","EMP224",4.2,9.4,5,"Low",6.2,5
"OUT225","EMP225",3.21,15.4,6,"Medium",4,8
"OUT226","EMP226",2.75,9.9,4,"High",3.4,12
"OUT227","EMP227",3.69,14.4,9,"High",3.8,11
"OUT228","EMP228",4.64,12.6,5,"High",8.6,7
"OUT229","EMP229",3.77,1.9,5,"Medium",3,14
"OUT230","EMP230",3.37,15.9,5,"Low",5.6,7
"OUT231","EMP231",4.07,24.1,4,"Medium",8.8,10
"OUT232","EMP232",4.69,17.9,4,"Low",5.7,12
"OUT233","EMP233",4.13,8.2,5,"High",4.1,3
"OUT234","EMP234",3.53,7,5,"Low",3.2,8
"OUT235","EMP235",3.45,12.9,196,"Medium",3.7,15
"OUT236","EMP236",4.12,5.9,3,"Medium",2.5,17
"OUT237","EMP237",2.89,12.9,4,"Low",1.3,14
"OUT238","EMP238",3.97,20.2,4,"Low",5,4
"OUT239","EMP239",2.47,5.8,2,"Low",2.4,4
"OUT240","EMP240",3.31,12.2,15,"Medium",6.5,6
"OUT241","EMP241",4.6,13.4,0,"Medium",4.5,14
"OUT242","EMP242",3.34,22.3,5,"High",4.4,5
"OUT243","EMP243",3.77,6.8,7,"Medium",3.3,6
"OUT244","EMP244",3.7,6.1,3,"High",4.5,10
"OUT245","EMP245",3.74,7.3,0,"Low",5.7,3
"OUT246","EMP246",4.15,6.4,4,"Low",5.7,5
"OUT247","EMP247",4.48,-6.8,2,"Medium",5.3,12
"OUT248","EMP248",3.13,-4.7,7,"High",5.2,13
"OUT249","EMP249",4.49,0.1,1,"Low",4.3,8
"OUT250","EMP250",4.04,0.7,11,"Low",1.8,14
"OUT251","EMP251",4.23,3.8,6,"Medium",1,13
"OUT252","EMP252",4.19,4.5,3,"Low",3.9,11
"OUT253","EMP253",3.95,7.2,4,"Low",1.7,5
"OUT254","EMP254",4.8,3.9,6,"High",5.7,14
"OUT255","EMP255",3.58,12.6,3,"Medium",5,11
"OUT256","EMP256",3.42,1.1,10,"High",5.1,15
"OUT257","EMP257",2.63,-6.3,2,"Low",1.8,12
"OUT258","EMP258",3.98,13.3,4,"High",5.9,5
"OUT259","EMP259",4.67,0.1,3,"Medium",3.7,10
"OUT260","EMP260",4.29,14,2,"Medium",2.5,16
"OUT261","EMP261",4.07,9.3,2,"Low",3.4,6
"OUT262","EMP262",4.5,15.4,13,"Low",5.2,18
"OUT263","EMP263",5,2.5,4,"Medium",7.8,11
"OUT264","EMP264",4.33,3.1,16,"Low",2.6,7
"OUT265","EMP265",4.32,6.3,3,"High",6.3,13
"OUT266","EMP266",3.77,9,7,"High",2.9,9
"OUT267","EMP267",4.78,-17.3,6,"High",6.1,16
"OUT268","EMP268",4.13,14,4,"High",6.7,13
"OUT269","EMP269",3.24,4.6,10,"Low",3.3,12
"OUT270","EMP270",NA,20.2,1,"Medium",4.2,9
"OUT271","EMP271",3.12,-3,3,"Medium",4.9,9
"OUT272","EMP272",NA,-1.1,10,"Medium",4.7,13
"OUT273","EMP273",NA,15.4,3,"Low",2,18
"OUT274","EMP274",3.37,9.7,1,"Medium",1.4,8
"OUT275","EMP275",4.14,7.4,9,"Low",3.3,17
"OUT276","EMP276",4.94,13.8,5,"High",5.6,7
"OUT277","EMP277",4.03,4.6,6,"Low",4.2,8
"OUT278","EMP278",3.71,22.3,4,"High",5.8,11
"OUT279","EMP279",NA,5.3,10,"Low",7.3,6
"OUT280","EMP280",5,9,3,"Low",3.6,10
